名称,用途,分类,主题,状态,维护状态,入口,仓库,原始标题,依据,日期
讨论摄像头集成人脸识别与表情识别的可行性,回顾讨论主题：讨论摄像头集成人脸识别与表情识别的可行性；机器人模块配网与图像识别技术讨论。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251104-1627-009eacc4/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-04 16:27 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-04
讨论S3摄像与人脸识别技术应用及设备自定义表情功能,回顾讨论主题：讨论S3摄像与人脸识别技术应用及设备自定义表情功能；技术对接与功能需求讨论。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251104-1632-7addb232/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-04 16:32 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-04
工作与生活琐事的讨论,回顾讨论主题：工作与生活琐事的讨论；财务与生活压力下的决策困扰；探讨兼职与创业机会及信息差的重要性。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251104-1854-5442e7c5/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-04 18:54 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-04
讨论人脸识别服务端与复杂机器人功能的可行性,回顾讨论主题：讨论人脸识别服务端与复杂机器人功能的可行性；技术项目可行性讨论与分歧；项目可行性讨论与分工争议。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251105-1012-f70f9b0d/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-05 10:12 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-05
智能安全帽硬件设计讨论,回顾讨论主题：智能安全帽硬件设计讨论；智能安全帽设计讨论；定制安全帽与设备续航方案讨论。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251107-1014-bf173f79/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-07 10:14 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-07
讨论电机控制与设备尺寸,回顾讨论主题：讨论电机控制与设备尺寸；设计与需求讨论：智能板子与结构适配；商用AI服务搭建与成本探讨。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251109-1608-e5f914e9/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-09 16:08 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-09
讨论基于安卓板的机器人结构与功能适配,回顾讨论主题：讨论基于安卓板的机器人结构与功能适配；讨论AI机器人开发与云服务成本；AI音箱商用版授权与服务探讨。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251109-1610-74311020/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-09 16:10 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-09
讨论智能设备开发需求,回顾讨论主题：讨论智能设备开发需求；定制户外模式智能设备讨论；讨论智能设备功能与定制化成本。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251110-2158-b06f75f6/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-10 21:58 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-10
副业经历与AI出海探讨,回顾讨论主题：副业经历与AI出海探讨；讨论流量、赛道与出海机会；出海创业策略与圈层拓展建议。完整内容见原资料。,会议条目,出海、增长与商业化 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251110-2315-fcf88ba6/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-10 23:15 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-10
价格协商与项目预算讨论,回顾讨论主题：价格协商与项目预算讨论；项目合作与财务支付方式讨论。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251111-1649-adad5f18/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-11 16:49 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-11
智能花盆与小智连接开发方案探讨,回顾讨论主题：智能花盆与小智连接开发方案探讨；低成本智能设备开发与成本控制探讨；讨论模块开发成本与流程。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251112-1338-1804af2b/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-12 13:38 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-12
设计一款结合AI主机与蓝牙耳机的安抚设备,回顾讨论主题：设计一款结合AI主机与蓝牙耳机的安抚设备；音乐震动功能开发与用户反馈收集；设计小型户外直播设备要求。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251113-1426-8ea41cc5/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-13 14:26 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-13
设计一款结合AI与震动功能的智能设备,回顾讨论主题：设计一款结合AI与震动功能的智能设备；运动耳机震动功能测试与用户反馈收集；设计小型户外音乐播放设备。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251113-1429-68c2e213/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-13 14:29 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-13
优化麦克风与喇叭安装结构以减少回音,回顾讨论主题：优化麦克风与喇叭安装结构以减少回音；优化录音设备以减少声音传导干扰；硅胶产品结构与外观优化讨论。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251113-2204-7329fae0/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-13 22:04 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-13
麦克风安装与防震措施的讨论,回顾讨论主题：麦克风安装与防震措施的讨论；软硬结合3D打印与硅胶材料在产品设计中的应用探讨；产品试产与设计优化讨论。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251113-2205-01eb1cf9/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-13 22:05 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-13
定制与现成产品讨论,回顾讨论主题：定制与现成产品讨论；定制手办底座开发讨论。完整内容见原资料。,会议条目,内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251115-1033-938d6c4d/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-15 10:33 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-15
定制底座设计与功能讨论,回顾讨论主题：定制底座设计与功能讨论。完整内容见原资料。,会议条目,内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251115-1036-f73ca1a4/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-15 10:36 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-15
讨论硬件控制与实物调试方案,回顾讨论主题：讨论硬件控制与实物调试方案；大模型控制硬件与外壳合作沟通；讨论智能产品开发与人脸识别功能的必要性。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251115-1534-4286fc20/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-15 15:34 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-15
设计与竞品对比的机器人硬件方案讨论,回顾讨论主题：设计与竞品对比的机器人硬件方案讨论；机器人硬件设计与连接器选择讨论；红外传感插件设计与专利规避讨论。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251117-1000-eeb9905b/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-17 10:00 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-17
讨论产品原型机设计变更与成本问题,回顾讨论主题：讨论产品原型机设计变更与成本问题；客户对产品设计改动的需求讨论；项目沟通与设计调整会议。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251117-1905-c4fccb30/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-17 19:05 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-17
讨论产品外观设计与尺寸确认,回顾讨论主题：讨论产品外观设计与尺寸确认；设计图确认与尺寸测量；讨论充电指示灯与按钮设计及外壳打印方案。完整内容见原资料。,会议条目,内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251118-1805-039a3592/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-18 18:05 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-18
外观设计尺寸确认与版本选择讨论,回顾讨论主题：外观设计尺寸确认与版本选择讨论；设计确认与结构调整的重要性；充电宝设计优化与物料调整讨论。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251118-2002-4359c01e/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-18 20:02 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-18
讨论芯片与模组方案及NFC加急报价,回顾讨论主题：讨论芯片与模组方案及NFC加急报价；成本估算与报价协商。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251119-1111-bb1efddd/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-19 11:11 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-19
麦克风与代码问题探讨,回顾讨论主题：麦克风与代码问题探讨；技术问题讨论与代码理解；技术文档不详引发部署难题。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251119-2150-711df5f9/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-19 21:50 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-19
竞品分析与产品设计讨论,回顾讨论主题：竞品分析与产品设计讨论；讨论ESP32与视频流处理及项目启动计划。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251120-1601-962f7fcd/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-20 16:01 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-20
硬件选型与视频流编解码讨论,回顾讨论主题：硬件选型与视频流编解码讨论；讨论硬件软件开发与联调成本及产品定价策略；机器人成本与市场定价策略探讨。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251120-1614-7ea42cc2/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-20 16:14 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-20
RTC方案测试与优化讨论,回顾讨论主题：RTC方案测试与优化讨论；讨论云服务文档详尽性与接口对接问题；云端智能体与音乐服务的集成与应用。完整内容见原资料。,会议条目,内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251120-2002-be6a2405/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-20 20:02 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-20
AI玩具研发与迪拜展示项目讨论,回顾讨论主题：AI玩具研发与迪拜展示项目讨论；国内外模型部署与硬件选型讨论；成本与报价谈判影响项目合作。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251121-2349-64126c86/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-21 23:49 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-21
AI玩具研发与报价讨论,回顾讨论主题：AI玩具研发与报价讨论；讨论4G与WiFi在国内外应用及产品开发报价。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251121-2351-d7a4355d/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-21 23:51 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-21
蓝牙设备连接与参数配置讨论,回顾讨论主题：蓝牙设备连接与参数配置讨论；讨论小程序功能与蓝牙配网问题；家庭与技术交织的混乱对话。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251122-2058-29f466a5/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-22 20:58 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-22
讨论算法实现与流程图优化,回顾讨论主题：讨论算法实现与流程图优化；用户记录与识别流程；大模型在对话流程控制中的应用与优化。完整内容见原资料。,会议条目,内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251125-2132-e44f2406/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-25 21:32 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-25
大模型接入平台对比与成本分析,回顾讨论主题：大模型接入平台对比与成本分析；大模型服务费用与应用探讨；讨论与百度合作开发服务端的可行性与时间规划。完整内容见原资料。,会议条目,AI 编程与 Agent / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251126-1531-5a8981fe/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-26 15:31 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-26
技术测试与产品化讨论,回顾讨论主题：技术测试与产品化讨论；设备身份验证与物联网管理机制探讨；设备与服务器认证及物联网平台健全机制探讨。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251126-1702-b278742e/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-26 17:02 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-26
讨论国企部门间数据接入与设备设计,回顾讨论主题：讨论国企部门间数据接入与设备设计；定制AI唤醒词与音乐贡献服务讨论；讨论本地化部署与智能管理平台方案。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251127-1542-fa814e79/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-27 15:42 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-27
小规模闭门活动促进AI与硬件领域交流,回顾讨论主题：小规模闭门活动促进AI与硬件领域交流；行业交流与项目分享会议；智能硬件选型与机器人落地挑战。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群 / 行业访谈与趋势,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251127-1852-dbd6263a/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-11-27 18:52 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-11-27
项目延期与模型修改争议,回顾讨论主题：项目延期与模型修改争议；项目改版导致进度延误的沟通；项目延期与成本增加引发的沟通与理解。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251202-1105-6ee00300/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-02 11:05 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-02
物联网公司寻求智能语音硬件与平台融合合作,回顾讨论主题：物联网公司寻求智能语音硬件与平台融合合作；讨论项目需求与生产计划。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251202-1613-d46b9ed9/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-02 16:13 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-02
物联网公司探讨远程播放器方案与成本,回顾讨论主题：物联网公司探讨远程播放器方案与成本；物联网公司寻求智能语音硬件合作；讨论设备前后端通讯及手动自动切换机制。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251202-1614-1038e849/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-02 16:14 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-02
设备认证与百度License激活流程讲解,回顾讨论主题：设备认证与百度License激活流程讲解；设备与服务端交互流程解析；设备与管理端密码请求及用户角色模板管理流程。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251202-2201-5fcf09a7/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-02 22:01 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-02
AI语音交互在工业场景的展示与技术探讨,回顾讨论主题：AI语音交互在工业场景的展示与技术探讨；智能硬件与AI对话交互的探讨；智能设备连接电视显示报表方案探讨。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251205-1459-0ac1a993/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-05 14:59 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-05
探索智能语音交互与电视投屏技术的融合应用,回顾讨论主题：探索智能语音交互与电视投屏技术的融合应用；大屏AI交互硬件平台开发需求探讨；智能硬件与外部端解决方案的探讨。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251205-1501-18110258/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-05 15:01 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-05
代工厂选择与合同条款讨论,回顾讨论主题：代工厂选择与合同条款讨论；合同条款与量产模具费用的商讨；讨论合同条款与产品量产策略。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251206-1629-da23d48e/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-06 16:29 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-06
项目分阶段合同与资金投入讨论,回顾讨论主题：项目分阶段合同与资金投入讨论；分合同策略与量产风险探讨；项目资金分配与技术方案讨论。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251206-2210-e9ffde8b/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,12月06日 22:10 录音_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-06
关于产品修改与成本争议的沟通,回顾讨论主题：关于产品修改与成本争议的沟通；项目合作争议与解决方案探讨；合同纠纷解决方案探讨。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251207-1025-805d1e86/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-07 10:25 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-07
商业合作纠纷与解决方案探讨,回顾讨论主题：商业合作纠纷与解决方案探讨；项目成本超支与责任分担讨论。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251207-1438-db980a73/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-07 14:38 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-07
合同软件款项分配与项目进度协商,回顾讨论主题：合同软件款项分配与项目进度协商；合作生产流程与付款条件讨论；量产过程复杂性与小批量试产重要性探讨。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251209-1455-a7092430/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-09 14:55 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-09
项目合作款项分配与进度管理讨论,回顾讨论主题：项目合作款项分配与进度管理讨论；合作生产流程与付款机制探讨；从设计到量产：3D打印与模具制造流程详解。完整内容见原资料。,会议条目,智能硬件与产品交付 / 创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251209-1500-fdc969d6/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-09 15:00 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-09
项目合作模式与售后责任讨论,回顾讨论主题：项目合作模式与售后责任讨论；定制项目沟通与方案讨论；项目进展与团队沟通问题。完整内容见原资料。,会议条目,创业、经营与合作 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251212-1831-15d555ea/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-12 18:31 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-12
设备网络连接与故障排查,回顾讨论主题：设备网络连接与故障排查；设备网络连接故障排查；技术问题与个人不适交织的求助对话。完整内容见原资料。,会议条目,智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251213-1537-ec54a623/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-13 15:37 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-13
直播分享深圳科创学院冬季科创营与极氪营,回顾讨论主题：直播分享深圳科创学院冬季科创营与极氪营；深圳科创学院引领AI智能硬件出海转型；大疆无人机产品线的迭代与市场影响。完整内容见原资料。,会议条目,出海、增长与商业化 / 智能硬件与产品交付 / 内容创作与社群,资料已整理,保留维护入口,https://siuserxiaowei.github.io/meeting-minutes-shu-fa-dao-qi-shi-pages/articles/20251219-0927-4462ea4d/,https://github.com/siuserxiaowei/meeting-minutes-shu-fa-dao-qi-shi-pages,2025-12-19 09:27 记录_导读,主题取自原资料的首个实质章节；原始标题保留供核对,2025-12-19
